id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,lic,q,length,time,date,uploaded,rmk,bird-seen,playback-used
410187,Accipiter,fasciatus,,Brown Goshawk,Ross Gallardy,Indonesia,Alor Selatan; Kabupaten Alor; Nusa Tenggara Timur,-8.2922,124.7338,1100,call,//www.xeno-canto.org/410187,//www.xeno-canto.org/410187/download,//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:12,16:30,2017-06-17,2018-04-10,,yes,no
502598,Accipiter,melanochlamys,,Black-mantled Goshawk,Ken Behrens,Indonesia,Mingre; Arfak Mountains,-1.0889,133.9031,1600,call,//www.xeno-canto.org/502598,//www.xeno-canto.org/502598/download,//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:26,10:17,2019-08-09,2019-10-15,PLUMAGE: immature plumage; but was on a nest; and calling actively; in a territorial manner.,yes,no
502599,Accipiter,melanochlamys,,Black-mantled Goshawk,Ken Behrens,Indonesia,Mingre; Arfak Mountains,-1.0889,133.9031,1600,call,//www.xeno-canto.org/502599,//www.xeno-canto.org/502599/download,//creativecommons.org/licenses/by-nc-sa/4.0/,C,0:15,10:15,2019-08-09,2019-10-15,PLUMAGE immature bird,yes,no
412286,Accipiter,henicogrammus,,Moluccan Goshawk,Ross Gallardy,Indonesia,Maba; Kabupaten Halmahera Timur; Maluku Utara,1.0158,128.3019,500,call,//www.xeno-canto.org/412286,//www.xeno-canto.org/412286/download,//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:11,08:00,2017-07-09,2018-04-25,,yes,no
413608,Accipiter,henicogrammus,,Moluccan Goshawk,Frank Lambert,Indonesia,north of Weda Resort; Central Halmahera; North Maluku (approx location),0.4582,127.8824,120,female; song,//www.xeno-canto.org/413608,//www.xeno-canto.org/413608/download,//creativecommons.org/licenses/by-nc-nd/4.0/,B,0:58,08:37,2017-08-15,2018-05-04,same bird as XC413607.,yes,no
413607,Accipiter,henicogrammus,,Moluccan Goshawk,Frank Lambert,Indonesia,north of Weda Resort; Central Halmahera; North Maluku (approx location),0.4582,127.8824,120,female; song,//www.xeno-canto.org/413607,//www.xeno-canto.org/413607/download,//creativecommons.org/licenses/by-nc-nd/4.0/,B,1:16,08:26,2017-08-15,2018-05-04,Not far from a nest,yes,no
412287,Accipiter,henicogrammus,,Moluccan Goshawk,Ross Gallardy,Indonesia,Maba; Kabupaten Halmahera Timur; Maluku Utara,1.0158,128.3019,500,call,//www.xeno-canto.org/412287,//www.xeno-canto.org/412287/download,//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:12,08:00,2017-07-09,2018-04-25,,yes,no
366070,Accipiter,henicogrammus,,Moluccan Goshawk,Brian Cox,Indonesia,north of Weda Resort; Central Halmahera; North Maluku (approx location),0.4582,127.8824,120,call; juvenile,//www.xeno-canto.org/366070,//www.xeno-canto.org/366070/download,//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:40,08:30,2016-10-07,2017-04-24,,yes,no
203962,Accipiter,henicogrammus,,Moluccan Goshawk,Mike Nelson,Indonesia,Weda; Central Halmahera; North Maluku,0.4218,127.9019,80,song,//www.xeno-canto.org/203962,//www.xeno-canto.org/203962/download,//creativecommons.org/licenses/by-nc-sa/4.0/,B,2:05,15:30,2014-09-22,2014-11-26,,yes,no
106016,Accipiter,henicogrammus,,Moluccan Goshawk,Hanom Bashari,Indonesia,Miaf Kilometer 32; Halmahera Island,None,None,620,Call,//www.xeno-canto.org/106016,//www.xeno-canto.org/106016/download,//creativecommons.org/licenses/by-nc-nd/2.5/,B,0:08,11:30,2012-05-15,2012-07-23,,unknown,unknown
22448,Accipiter,henicogrammus,,Moluccan Goshawk,Paul Noakes,Indonesia,Sidangoli; Halmahera,0.882133,127.504406,?,single bird calling in a group,//www.xeno-canto.org/22448,//www.xeno-canto.org/22448/download,//creativecommons.org/licenses/by-nc-nd/2.5/,C,0:36,?,2006-09-08,2008-11-20,poor recording of distant bird; it did; however; come straight in to play-back of this recording.,unknown,unknown
216335,Accipiter,henicogrammus,,Moluccan Goshawk,Patrik Åberg,Indonesia,Lolobata National Park; Binagara Halmahera,0.7003,127.83,190,call,//www.xeno-canto.org/216335,//www.xeno-canto.org/216335/download,//creativecommons.org/licenses/by-nc-sa/4.0/,D,1:46,10:16,2015-01-04,2015-03-10,,no,no
502732,Accipiter,poliocephalus,,Grey-headed Goshawk,Marc Anderson,Indonesia,near Marandan Weser; Batanta,-0.8022,130.5743,30,song,//www.xeno-canto.org/502732,//www.xeno-canto.org/502732/download,//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:11,15:30,2019-08-26,2019-10-16,,yes,unknown
